x1.2,,x1.5,,x2.0,,x2.5,,x3.0,
X,Y,X,Y,X,Y,X,Y,X,Y
-1.996565696460267,1.1223307782435819,-1.9929130810755613,0.08686654720157416,-1.9975328414078883,-0.9556825487555782,-1.9922334974291138,-1.9663255446278995,-1.995206529167372,-2.9840534054153656
-1.7979746881500387,1.129246920966711,-1.8009395038511204,0.08669635786006324,-1.8022505486405538,-0.952309572064769,-1.8002587464850768,-1.9700418343007224,-1.801579181031283,-2.9806789615750615
-1.6060058058039846,1.143261132950447,-1.6023508429800857,0.10070470124581554,-1.6053156586811674,-0.9418458618608323,-1.6049752799981454,-1.970214957941225,-1.6079471380168069,-2.9914889190600027
-1.407421839811336,1.1714538776614463,-1.4070697239323477,0.10762377826793634,-1.406722302931746,-0.9420219198003266,-1.4063842716879171,-1.9632988152180961,-1.4077000113557367,-2.9881203438176813
-1.1989011637136369,1.1783612174876006,-1.203519750326367,0.13226602119913666,-1.2048143630414476,-0.9563853133640592,-1.204469289480039,-1.9989388107696993,-1.2024739661657717,-3.0273093739995867
-1.0036200446658987,1.1852802945097216,-1.001617679034052,0.13563312929196258,-1.0012432624827279,-0.9955728763964693,-0.997581257341249,-2.059405910088971,-1.0005495942011207,-3.0913181722016834
-0.8050360786732504,1.213473039220721,-0.8079645090668368,0.060993365843409864,-0.8042766820942322,-1.0808538751379486,-0.8055783371268923,-2.1482286077132744,-0.8052520430790304,-3.134044499817927
-0.5997055724391855,0.8586810795520736,-0.6043206378931258,-0.19805241773032556,-0.6072819324354182,-1.2512412818309087,-0.6036469228446619,-2.2335140079032403,-0.6033229762359924,-3.2122376993452697
-0.40425543776953354,0.35496170886530964,-0.4006427288511132,-0.5599351109121007,-0.4003481252323593,-1.4500062940713376,-0.403364584595693,-2.3365284426002697,-0.4047096672534285,-3.272697462917063
-0.20554001518206233,-0.01400878353060131,-0.20857994893732856,-0.8296089254333001,-0.20833112038284352,-1.581382195671381,-0.20640622024437416,-2.3969867390225676,-0.2077548240608995,-3.322517458345425
-0.0035851265078989947,-0.1702161903468018,-0.009944339282428327,-0.9574445953000157,-0.006419659333755323,-1.6063838902290484,-0.0028386408444438516,-2.425536001061043,-0.0025428635060937843,-3.3191532845515903
0.19166078095194017,-0.056914103385329984,0.19523358340407482,-0.8512435118981423,0.19216078550010351,-1.5675528445241147,0.19575002002659092,-2.4115276576752906,0.19273473438285427,-3.3015959065355345
0.39013206986331195,0.31170427313159244,0.39042080488408226,-0.5606364083710855,0.3907083661852564,-1.429430989542452,0.39101353328037947,-2.3514170756834947,0.39297247128715096,-3.269858528642719
0.5918616043749232,0.8363481299272383,0.5888967886738414,-0.2062024331794099,0.5942066961289854,-1.2487603320335365,0.5945329901768481,-2.2345762241381886,0.5965142288559555,-3.2203935833923376
0.7969667564464356,1.1624074338704373,0.7940195465393032,0.06666536579411364,0.792747234496558,-1.0893618750640042,0.7930934817775639,-2.135461472800956,0.7950852839330409,-3.1531937350369095
0.9922431806157865,1.183510912217805,0.9925999913731611,0.1054964114990482,0.9896527814660292,-0.990245656577275,0.9900107659430009,-2.071806257627344,0.9903464497476362,-3.085990952382489
1.194144078188505,1.1904241206419424,1.187881110420899,0.11241548852116878,1.1898881709311335,-0.9514160780218366,1.1902355919317356,-2.0010617760901,1.1905794917735464,-3.0400691731644276
1.3927468236946998,1.1618792600519545,1.3914393000640555,0.11223502913318728,1.388481526680554,-0.9515921359613304,1.3921317946260672,-1.9799641663407153,1.3908172286778449,-3.0083317952716113
1.5946524161458049,1.1546080671508454,1.5950021845856002,0.09787016841995921,1.595347258147009,-0.9446833289856804,1.5923824424459267,-1.9872338920923291,1.5927181262505616,-3.0014185868474748
1.780010909723651,1.1402593450820708,1.7869804566884273,0.08351557775320129,1.7889757800026942,-0.9448549854766877,1.7876612140544719,-1.9732226144075842,1.7863419532278613,-2.987405842013235
1.9752967236497767,1.1329940207789448,1.9723319079486936,0.09044345767229678,1.982601954419187,-0.937934441305071,1.9746711311047722,-1.9769345026319196,1.9799716488031445,-2.9911235988355536
