# DNS of a turbulent zero-pressure gradient boundary layer
# Reference: Schlatter et al., Phys. Fluids 21, 051702 (2009)
#  
# Integral quantities:
# Re_{\theta}   =       1000.490
# Re_{\delta^*} =       1467.762
# Re_{\tau}     =       365.4094
# H_{12}        =       1.467043
# c_f           =    0.004258940
# 
# Wall-normal profiles:
# y/\delta_{99}       y+          U+          urms+       vrms+       wrms+       uv+         prms+       pu+         pv+
    0.3372691    123.2412700  17.0650348   1.6054640   1.0372368   1.2605432  -0.8025140   2.2312183   0.4630243  -0.1419076
    0.3514671    128.4293614  17.2056480   1.5895820   1.0298481   1.2503451  -0.7908881   2.2088992   0.4612281  -0.1414806
    0.3659382    133.7172290  17.3467039   1.5734377   1.0219190   1.2397064  -0.7784994   2.1864562   0.4604098  -0.1410762
    0.3806807    139.1042931  17.4882019   1.5568416   1.0134520   1.2285137  -0.7652708   2.1637868   0.4602946  -0.1406831
    0.3956931    144.5899628  17.6300440   1.5397462   1.0044217   1.2166467  -0.7512622   2.1408510   0.4609414  -0.1403824
    0.4109737    150.1736367  17.7721055   1.5222274   0.9947737   1.2038812  -0.7364935   2.1175057   0.4623077  -0.1400158
    0.4265208    155.8547024  17.9143954   1.5042191   0.9845442   1.1899258  -0.7209806   2.0938150   0.4644765  -0.1395332
    0.4423328    161.6325369  18.0569588   1.4855689   0.9737473   1.1749972  -0.7046695   2.0694156   0.4671234  -0.1387369
    0.4584078    167.5065067  18.1998668   1.4661737   0.9623644   1.1593622  -0.6875689   2.0443489   0.4701634  -0.1377568
    0.4747442    173.4759675  18.3430205   1.4460535   0.9503471   1.1428967  -0.6697313   2.0185157   0.4732444  -0.1366955
    0.4913401    179.5402647  18.4862946   1.4251396   0.9376639   1.1253547  -0.6511266   1.9918321   0.4761817  -0.1354761
    0.5081937    185.6987334  18.6295490   1.4034348   0.9243080   1.1065278  -0.6317222   1.9641915   0.4787167  -0.1339297
    0.5253032    191.9506982  18.7726455   1.3808405   0.9102855   1.0864004  -0.6114545   1.9356584   0.4807162  -0.1320486
    0.5426666    198.2954734  18.9154230   1.3574269   0.8955762   1.0650678  -0.5904189   1.9059756   0.4815859  -0.1297753
    0.5602822    204.7323634  19.0577217   1.3333158   0.8801329   1.0424631  -0.5686823   1.8747152   0.4810530  -0.1270913
    0.5781479    211.2606622  19.1995185   1.3082237   0.8639520   1.0185310  -0.5461115   1.8417755   0.4788567  -0.1239685
    0.5962618    217.8796539  19.3407901   1.2819229   0.8470385   0.9932001  -0.5226031   1.8070871   0.4753022  -0.1203755
    0.6146219    224.5886127  19.4814462   1.2542307   0.8294326   0.9665367  -0.4982147   1.7711046   0.4700723  -0.1163906
    0.6332263    231.3868029  19.6212465   1.2250462   0.8111581   0.9385874  -0.4730762   1.7337344   0.4623582  -0.1118529
    0.6520727    238.2734790  19.7597878   1.1942958   0.7921777   0.9092338  -0.4473693   1.6948210   0.4519513  -0.1068512
    0.6711593    245.2478857  19.8967524   1.1618476   0.7724920   0.8784069  -0.4212366   1.6539618   0.4390195  -0.1013160
    0.6904838    252.3092582  20.0317953   1.1277020   0.7521148   0.8461868  -0.3947457   1.6112820   0.4236862  -0.0955244
    0.7100443    259.4568223  20.1646087   1.0915873   0.7310251   0.8127277  -0.3678182   1.5664838   0.4052201  -0.0893679
    0.7298384    266.6897940  20.2947824   1.0531823   0.7092003   0.7782633  -0.3405230   1.5194577   0.3835554  -0.0829133
    0.7498641    274.0073803  20.4218273   1.0122660   0.6866404   0.7428902  -0.3130102   1.4702027   0.3586326  -0.0760741
    0.7701192    281.4087786  20.5449710   0.9690121   0.6633890   0.7065409  -0.2854881   1.4189527   0.3309543  -0.0690458
    0.7906015    288.8931773  20.6634822   0.9233290   0.6395596   0.6694270  -0.2582352   1.3661226   0.3007908  -0.0618292
    0.8113086    296.4597556  20.7767163   0.8751910   0.6152505   0.6317237  -0.2315353   1.3119815   0.2683887  -0.0546392
    0.8322383    304.1076838  20.8840386   0.8245937   0.5905089   0.5937698  -0.2056416   1.2565135   0.2340625  -0.0475543
    0.8533884    311.8361233  20.9847715   0.7720392   0.5653179   0.5557158  -0.1807715   1.1996535   0.1987301  -0.0406414
    0.8747565    319.6442264  21.0782471   0.7180226   0.5396262   0.5178673  -0.1571510   1.1414474   0.1633779  -0.0338729
    0.8963403    327.5311370  21.1638957   0.6631633   0.5134282   0.4805412  -0.1349745   1.0823220   0.1289036  -0.0273994
    0.9181374    335.4959901  21.2413761   0.6079454   0.4868261   0.4437848  -0.1143988   1.0226235   0.0960497  -0.0213778
