# DNS of a turbulent zero-pressure gradient boundary layer
# Reference: Schlatter et al., Phys. Fluids 21, 051702 (2009)
#  
# Integral quantities:
# Re_{\theta}   =       1000.490
# Re_{\delta^*} =       1467.762
# Re_{\tau}     =       365.4094
# H_{12}        =       1.467043
# c_f           =    0.004258940
# 
# Wall-normal profiles:
# y/\delta_{99}       y+          U+          urms+       vrms+       wrms+       uv+         prms+       pu+         pv+
    4.3639588   1594.6314198  21.6622785   0.0028432   0.0051194   0.0013647  -0.0000008   0.1180341  -0.0000419   0.0000203
    4.3889983   1603.7810680  21.6624507   0.0027801   0.0050854   0.0013400  -0.0000008   0.1179907  -0.0000403   0.0000198
    4.4138680   1612.8687036  21.6626203   0.0027174   0.0050526   0.0013157  -0.0000008   0.1179482  -0.0000387   0.0000192
    4.4385653   1621.8933300  21.6627884   0.0026563   0.0050210   0.0012913  -0.0000008   0.1179079  -0.0000372   0.0000187
    4.4630875   1630.8539575  21.6629540   0.0025956   0.0049906   0.0012673  -0.0000008   0.1178683  -0.0000357   0.0000182
    4.4874318   1639.7496035  21.6631179   0.0025365   0.0049614   0.0012431  -0.0000007   0.1178309  -0.0000343   0.0000177
    4.5115957   1648.5792926  21.6632795   0.0024777   0.0049332   0.0012194  -0.0000007   0.1177939  -0.0000330   0.0000173
    4.5355763   1657.3420565  21.6634395   0.0024205   0.0049061   0.0011955  -0.0000007   0.1177592  -0.0000317   0.0000168
    4.5593712   1666.0369341  21.6635971   0.0023636   0.0048800   0.0011721  -0.0000007   0.1177247  -0.0000304   0.0000163
    4.5829777   1674.6629721  21.6637532   0.0023081   0.0048549   0.0011484  -0.0000007   0.1176924  -0.0000292   0.0000159
    4.6063933   1683.2192244  21.6639069   0.0022530   0.0048307   0.0011252  -0.0000007   0.1176602  -0.0000280   0.0000155
    4.6296152   1691.7047528  21.6640591   0.0021992   0.0048075   0.0011018  -0.0000007   0.1176302  -0.0000268   0.0000150
    4.6526411   1700.1186268  21.6642090   0.0021458   0.0047851   0.0010789  -0.0000006   0.1176002  -0.0000257   0.0000146
    4.6754684   1708.4599236  21.6643574   0.0020936   0.0047636   0.0010557  -0.0000006   0.1175723  -0.0000247   0.0000142
    4.6980945   1716.7277286  21.6645035   0.0020418   0.0047429   0.0010330  -0.0000006   0.1175442  -0.0000236   0.0000138
    4.7205171   1724.9211352  21.6646481   0.0019911   0.0047230   0.0010101  -0.0000006   0.1175182  -0.0000226   0.0000134
    4.7427336   1733.0392447  21.6647904   0.0019409   0.0047038   0.0009877  -0.0000006   0.1174920  -0.0000217   0.0000131
    4.7647415   1741.0811670  21.6649313   0.0018918   0.0046854   0.0009651  -0.0000006   0.1174679  -0.0000207   0.0000127
    4.7865386   1749.0460201  21.6650699   0.0018431   0.0046677   0.0009430  -0.0000005   0.1174434  -0.0000198   0.0000123
    4.8081224   1756.9329307  21.6652071   0.0017953   0.0046507   0.0009206  -0.0000005   0.1174210  -0.0000190   0.0000120
    4.8294905   1764.7410338  21.6653420   0.0017481   0.0046343   0.0008989  -0.0000005   0.1173981  -0.0000181   0.0000116
    4.8506406   1772.4694733  21.6654755   0.0017018   0.0046187   0.0008768  -0.0000005   0.1173772  -0.0000173   0.0000113
    4.8715703   1780.1174015  21.6656069   0.0016560   0.0046036   0.0008555  -0.0000005   0.1173558  -0.0000165   0.0000109
    4.8922774   1787.6839798  21.6657367   0.0016111   0.0045891   0.0008337  -0.0000005   0.1173364  -0.0000158   0.0000106
    4.9127597   1795.1683785  21.6658645   0.0015667   0.0045752   0.0008127  -0.0000005   0.1173165  -0.0000150   0.0000103
    4.9330148   1802.5697768  21.6659907   0.0015230   0.0045619   0.0007913  -0.0000004   0.1172984  -0.0000143   0.0000099
    4.9530405   1809.8873630  21.6661149   0.0014800   0.0045491   0.0007708  -0.0000004   0.1172798  -0.0000136   0.0000096
    4.9728346   1817.1203348  21.6662376   0.0014377   0.0045369   0.0007498  -0.0000004   0.1172630  -0.0000130   0.0000093
    4.9923951   1824.2678988  21.6663582   0.0013960   0.0045251   0.0007298  -0.0000004   0.1172456  -0.0000124   0.0000090
    5.0117196   1831.3292714  21.6664774   0.0013549   0.0045139   0.0007092  -0.0000004   0.1172300  -0.0000117   0.0000087
    5.0308062   1838.3036781  21.6665944   0.0013145   0.0045031   0.0006897  -0.0000004   0.1172138  -0.0000112   0.0000084
    5.0496527   1845.1903542  21.6667101   0.0012747   0.0044928   0.0006696  -0.0000004   0.1171993  -0.0000106   0.0000081
    5.0682570   1851.9885444  21.6668236   0.0012356   0.0044830   0.0006506  -0.0000004   0.1171842  -0.0000101   0.0000079
    5.0866171   1858.6975032  21.6669358   0.0011970   0.0044736   0.0006310  -0.0000003   0.1171708  -0.0000095   0.0000076
    5.1047310   1865.3164949  21.6670459   0.0011593   0.0044646   0.0006126  -0.0000003   0.1171567  -0.0000090   0.0000073
    5.1225967   1871.8447937  21.6671545   0.0011219   0.0044560   0.0005935  -0.0000003   0.1171443  -0.0000085   0.0000070
    5.1402123   1878.2816836  21.6672611   0.0010854   0.0044478   0.0005758  -0.0000003   0.1171312  -0.0000081   0.0000068
    5.1575757   1884.6264589  21.6673663   0.0010492   0.0044400   0.0005571  -0.0000003   0.1171197  -0.0000076   0.0000065
    5.1746852   1890.8784237  21.6674694   0.0010140   0.0044325   0.0005401  -0.0000003   0.1171076  -0.0000072   0.0000062
    5.1915388   1897.0368923  21.6675712   0.0009789   0.0044255   0.0005221  -0.0000003   0.1170970  -0.0000068   0.0000060
    5.2081347   1903.1011896  21.6676708   0.0009450   0.0044187   0.0005058  -0.0000003   0.1170857  -0.0000064   0.0000057
    5.2244711   1909.0706504  21.6677691   0.0009111   0.0044123   0.0004883  -0.0000003   0.1170760  -0.0000060   0.0000055
    5.2405461   1914.9446201  21.6678653   0.0008785   0.0044063   0.0004728  -0.0000002   0.1170656  -0.0000057   0.0000053
    5.2563581   1920.7224547  21.6679602   0.0008457   0.0044005   0.0004559  -0.0000002   0.1170566  -0.0000053   0.0000050
    5.2719052   1926.4035204  21.6680529   0.0008143   0.0043951   0.0004411  -0.0000002   0.1170470  -0.0000050   0.0000048
    5.2871858   1931.9871943  21.6681443   0.0007828   0.0043899   0.0004248  -0.0000002   0.1170387  -0.0000047   0.0000046
    5.3021982   1937.4728640  21.6682337   0.0007527   0.0043850   0.0004109  -0.0000002   0.1170299  -0.0000044   0.0000043
    5.3169407   1942.8599281  21.6683216   0.0007222   0.0043804   0.0003952  -0.0000002   0.1170224  -0.0000041   0.0000041
    5.3314118   1948.1477957  21.6684075   0.0006934   0.0043761   0.0003821  -0.0000002   0.1170143  -0.0000038   0.0000039
    5.3456099   1953.3358870  21.6684920   0.0006640   0.0043720   0.0003669  -0.0000002   0.1170074  -0.0000035   0.0000037
    5.3595333   1958.4236331  21.6685745   0.0006365   0.0043682   0.0003548  -0.0000002   0.1170000  -0.0000033   0.0000035
    5.3731805   1963.4104760  21.6686555   0.0006082   0.0043646   0.0003401  -0.0000002   0.1169937  -0.0000031   0.0000033
    5.3865502   1968.2958689  21.6687345   0.0005820   0.0043613   0.0003288  -0.0000002   0.1169870  -0.0000028   0.0000031
    5.3996407   1973.0792759  21.6688121   0.0005548   0.0043582   0.0003146  -0.0000001   0.1169813  -0.0000026   0.0000029
    5.4124507   1977.7601727  21.6688877   0.0005299   0.0043552   0.0003043  -0.0000001   0.1169752  -0.0000024   0.0000027
    5.4249788   1982.3380458  21.6689619   0.0005038   0.0043525   0.0002904  -0.0000001   0.1169701  -0.0000022   0.0000025
    5.4372236   1986.8123932  21.6690340   0.0004803   0.0043500   0.0002810  -0.0000001   0.1169646  -0.0000021   0.0000023
    5.4491837   1991.1827243  21.6691046   0.0004551   0.0043477   0.0002675  -0.0000001   0.1169600  -0.0000019   0.0000022
    5.4608578   1995.4485598  21.6691732   0.0004330   0.0043455   0.0002591  -0.0000001   0.1169551  -0.0000017   0.0000020
    5.4722447   1999.6094320  21.6692404   0.0004088   0.0043435   0.0002457  -0.0000001   0.1169509  -0.0000016   0.0000018
    5.4833430   2003.6648844  21.6693055   0.0003881   0.0043417   0.0002383  -0.0000001   0.1169465  -0.0000015   0.0000016
    5.4941517   2007.6144725  21.6693690   0.0003649   0.0043401   0.0002251  -0.0000001   0.1169429  -0.0000013   0.0000015
    5.5046695   2011.4577631  21.6694305   0.0003456   0.0043385   0.0002187  -0.0000001   0.1169390  -0.0000012   0.0000013
    5.5148952   2015.1943347  21.6694904   0.0003235   0.0043372   0.0002056  -0.0000001   0.1169357  -0.0000011   0.0000012
    5.5248277   2018.8237776  21.6695483   0.0003056   0.0043359   0.0002002  -0.0000001   0.1169323  -0.0000010   0.0000010
    5.5344660   2022.3456938  21.6696044   0.0002845   0.0043348   0.0001870  -0.0000001   0.1169294  -0.0000009   0.0000009
    5.5438090   2025.7596970  21.6696584   0.0002681   0.0043338   0.0001828  -0.0000001   0.1169265  -0.0000008   0.0000007
    5.5528556   2029.0654128  21.6697105   0.0002482   0.0043330   0.0001696  -0.0000000   0.1169239  -0.0000007   0.0000006
    5.5616048   2032.2624788  21.6697604   0.0002333   0.0043321   0.0001666  -0.0000000   0.1169214  -0.0000006   0.0000005
    5.5700558   2035.3505444  21.6698084   0.0002149   0.0043315   0.0001536  -0.0000000   0.1169191  -0.0000006   0.0000003
    5.5782076   2038.3292709  21.6698540   0.0002014   0.0043309   0.0001518  -0.0000000   0.1169171  -0.0000005   0.0000002
    5.5860592   2041.1983317  21.6698975   0.0001852   0.0043305   0.0001395  -0.0000000   0.1169150  -0.0000004   0.0000001
    5.5936099   2043.9574121  21.6699385   0.0001730   0.0043301   0.0001390  -0.0000000   0.1169134  -0.0000004  -0.0000000
    5.6008587   2046.6062096  21.6699772   0.0001599   0.0043299   0.0001282  -0.0000000   0.1169115  -0.0000003  -0.0000001
    5.6078050   2049.1444337  21.6700133   0.0001490   0.0043296   0.0001292  -0.0000000   0.1169104  -0.0000003  -0.0000003
    5.6144478   2051.5718061  21.6700469   0.0001409   0.0043297   0.0001213  -0.0000000   0.1169086  -0.0000002  -0.0000003
    5.6207866   2053.8880605  21.6700779   0.0001312   0.0043296   0.0001240  -0.0000000   0.1169079  -0.0000002  -0.0000005
    5.6268206   2056.0929430  21.6701063   0.0001300   0.0043299   0.0001210   0.0000000   0.1169063  -0.0000001  -0.0000005
    5.6325492   2058.1862118  21.6701320   0.0001217   0.0043300   0.0001253   0.0000000   0.1169059  -0.0000001  -0.0000006
    5.6379717   2060.1676373  21.6701551   0.0001290   0.0043307   0.0001291   0.0000000   0.1169044  -0.0000001  -0.0000007
    5.6430875   2062.0370023  21.6701755   0.0001225   0.0043310   0.0001350   0.0000000   0.1169044  -0.0000001  -0.0000008
    5.6478961   2063.7941017  21.6701934   0.0001375   0.0043321   0.0001463   0.0000000   0.1169030  -0.0000000  -0.0000009
    5.6523969   2065.4387429  21.6702088   0.0001330   0.0043329   0.0001534   0.0000000   0.1169033  -0.0000000  -0.0000010
    5.6565895   2066.9707455  21.6702219   0.0001529   0.0043346   0.0001709   0.0000000   0.1169022  -0.0000000  -0.0000010
    5.6604733   2068.3899415  21.6702328   0.0001496   0.0043359   0.0001783  -0.0000000   0.1169027  -0.0000000  -0.0000011
    5.6640480   2069.6961753  21.6702416   0.0001700   0.0043383   0.0001983   0.0000000   0.1169018  -0.0000000  -0.0000012
    5.6673132   2070.8893036  21.6702486   0.0001655   0.0043402   0.0002023  -0.0000000   0.1169027  -0.0000000  -0.0000012
    5.6702685   2071.9691956  21.6702540   0.0001800   0.0043431   0.0002171  -0.0000000   0.1169021  -0.0000000  -0.0000013
    5.6729136   2072.9357329  21.6702580   0.0001688   0.0043454   0.0002106  -0.0000000   0.1169030  -0.0000000  -0.0000014
    5.6752482   2073.7888095  21.6702608   0.0001688   0.0043481   0.0002090  -0.0000000   0.1169028  -0.0000000  -0.0000014
    5.6772720   2074.5283317  21.6702627   0.0001444   0.0043501   0.0001833  -0.0000000   0.1169038  -0.0000000  -0.0000015
    5.6789848   2075.1542187  21.6702639   0.0001254   0.0043519   0.0001586  -0.0000000   0.1169039   0.0000000  -0.0000015
    5.6803865   2075.6664016  21.6702645   0.0000892   0.0043529   0.0001148  -0.0000000   0.1169047   0.0000000  -0.0000016
    5.6814768   2076.0648243  21.6702649   0.0000605   0.0043536   0.0000777  -0.0000000   0.1169051   0.0000000  -0.0000016
    5.6822557   2076.3494432  21.6702650   0.0000276   0.0043538   0.0000358  -0.0000000   0.1169055   0.0000000  -0.0000016
    5.6827231   2076.5202271  21.6702650   0.0000109   0.0043539   0.0000137  -0.0000000   0.1169058   0.0000001  -0.0000017
    5.6828789   2076.5771571  21.6702650   0.0000039   0.0043539   0.0000022  -0.0000000   0.1169059   0.0000001  -0.0000017
